0,0.1086956522,0.1956521739,0.1956521739,0.2028985507,0.2173913043,0.7028985507,0.7608695652,0.7971014493,0.8188405797,1
2,0.2424242424,0.2424242424,0.2727272727,0.2727272727,0.2727272727,0.8181818182,0.9090909091,0.9393939394,0.9696969697,1
6,0,0,0,0,0,0.1111111111,0.1111111111,0.1111111111,0.8888888889,1
13,0.0769230769,0.0769230769,0.0769230769,0.0769230769,0.0769230769,0.7692307692,0.9230769231,1,1,1
17,0.0416666667,0.0416666667,0.0416666667,0.0416666667,0.0416666667,1,1,1,1,1
18,0.28515625,0.3515625,0.35546875,0.44921875,0.73046875,0.765625,0.93359375,0.9453125,0.95703125,1
16,0.2745098039,0.3137254902,0.3333333333,0.3921568627,0.4019607843,0.8529411765,0.8529411765,0.8823529412,0.9117647059,1
9,0.2,0.5,0.6,0.6,0.6,0.8,0.8,0.8,0.9,1
5,0.2653061224,0.7142857143,0.7959183673,0.7959183673,0.7959183673,0.8163265306,0.8367346939,0.8367346939,0.8367346939,1
1,0.3965517241,0.3965517241,0.4310344828,0.4310344828,0.4482758621,0.7413793103,0.775862069,0.775862069,0.8103448276,1
